epoch,n_samples,Loss Sum,Delta Noise Loss,Beta Loss,KL Loss,Gamma Loss,mse,mape,nmae,psnr,ssim
0,2,32.6314695,1.6712345,2.245055,12.972429,0.26263349999999996,4.7601949999999995,157.91355399999998,1.0579375,-0.7541815000000001,-0.002054
1,2,7.882512,0.158971,3.4636385,0.134545,0.263587,4.5588415,132.3683085,1.0378055000000002,-0.5578270000000001,-0.004233499999999999
2,2,6.2482775,0.1004035,2.8332594999999996,0.07635349999999999,0.16432449999999998,4.991004,139.1679765,1.1112845,-0.9357150000000001,-0.023517
3,2,5.1022425,0.074871,2.3356255,0.0562875,0.12177299999999999,4.3301099999999995,129.62320449999999,1.0134794999999999,-0.278144,-0.0173185
4,2,4.3754935,0.0609515,2.012763,0.04732,0.097188,5.065631,513.2014275,1.124215,-0.5826064999999999,-0.1178415
5,2,3.8962125,0.0518025,1.798099,0.0429345,0.0811715,4.334835,138.84786400000002,1.029333,-0.1695085,-0.046484
6,2,3.5331595,0.045263,1.63346,0.040879,0.069609,3.2114195,119.751316,0.8910644999999999,1.2737365,-0.010246
7,2,3.253291,0.040311,1.504961,0.040495500000000004,0.0610335,3.3334789999999996,207.550657,0.9528205,0.9422024999999999,-0.017063500000000002
8,2,3.0212355,0.036341,1.39736,0.0407485,0.0543385,3.618869,140.6885805,1.006293,0.452824,-0.0511275
9,2,2.841224,0.033187999999999995,1.3132595,0.041838,0.04892,3.562584,129.8476935,1.0064305,0.5064635,-0.050101
10,2,2.6629395000000002,0.030677000000000003,1.228377,0.043295,0.0444595,3.107669,107.695168,0.9335675,1.113194,0.020357
11,2,2.520088,0.028595000000000002,1.15947,0.045522999999999994,0.040753,3.329126,118.1755005,0.9685414999999999,0.81946,-0.0005570000000000002
12,2,2.391478,0.02685,1.0966245,0.048095,0.037594,3.336356,120.6881165,0.9648405,0.792333,0.0006559999999999995
13,2,2.2851904999999997,0.025573,1.0432855,0.051657499999999995,0.034866,3.499159,114.119238,0.9936719999999999,0.5938145,-0.005264
14,2,2.182911,0.024237500000000002,0.9915825,0.055246,0.032507999999999995,3.3520575,108.85126,0.9725355,0.7680305000000001,-0.0009849999999999998
15,2,2.091685,0.0230085,0.945022,0.0588715,0.030445,3.47996,107.9296585,0.9895685000000001,0.6052125,-0.0136355
16,2,2.011815,0.021983000000000003,0.9039889999999999,0.062297500000000006,0.028630000000000003,3.41546,108.8546815,0.978855,0.688141,0.0033299999999999996
17,2,1.936344,0.021252,0.864946,0.065578,0.027021999999999997,3.6231305000000003,105.0414325,1.008309,0.4308505,-0.021809000000000002
18,2,1.8678715000000001,0.0205125,0.829886,0.068201,0.025592,3.6735415,114.3581155,1.015306,0.375465,-0.039307499999999995
19,2,1.8069264999999999,0.019849,0.7984925,0.07073850000000001,0.0243085,3.4711555,148.4286725,0.9888465,0.6192759999999999,-0.009788
20,2,1.7483885,0.0190915,0.7688225,0.0726705,0.0231555,3.4433505,105.37961150000001,0.9835105,0.653448,-0.002435
21,2,1.695568,0.0184735,0.7421395,0.074293,0.022115000000000003,3.4540045,104.9573365,0.9866165,0.6374815,-0.0050085
22,2,1.646395,0.017894,0.7174475,0.075634,0.021168,3.3897009999999996,109.965712,0.9789540000000001,0.7198395,-0.0069135
23,2,1.5997775,0.0172935,0.6942575,0.07668,0.020304000000000003,3.422151,107.40129350000001,0.9819465,0.6808544999999999,-0.0008265
24,2,1.5554855,0.0168725,0.6724915,0.07729849999999999,0.0195165,3.334918,106.1612725,0.9702584999999999,0.796913,0.018252
25,2,1.51517,0.0166195,0.6527575,0.077722,0.018796,3.322712,105.3159895,0.9659854999999999,0.8125249999999999,0.01697
26,2,1.4756315,0.0162005,0.6336975,0.07788600000000001,0.018132000000000002,3.287796,115.72524899999999,0.9651255,0.8738334999999999,0.026480499999999997
27,2,1.438229,0.015761499999999998,0.6159375,0.0777715,0.017523999999999998,3.322943,109.4871105,0.969307,0.806379,0.0178025
28,2,1.403265,0.015345,0.5993595,0.0776405,0.01696,3.4243185,110.8674405,0.9822025,0.678417,0.0025394999999999997
29,2,1.3705824999999998,0.014956,0.5839274999999999,0.0774475,0.0164375,3.467232,113.866925,0.9911909999999999,0.6225695,-0.0102555
30,2,1.3403420000000001,0.014629,0.5696195,0.0772825,0.015954,3.387988,105.20063049999999,0.978216,0.730331,0.017049500000000002
31,2,1.3107145,0.014322999999999999,0.5556145,0.07707549999999999,0.015505999999999999,3.3215635,105.930477,0.9676785,0.813411,0.0238605
32,2,1.282965,0.014044999999999998,0.5425065,0.076863,0.0150905,3.286105,102.23065650000001,0.9623725000000001,0.858072,0.032037
33,2,1.2551999999999999,0.013742500000000001,0.529588,0.07644000000000001,0.0147005,3.5792995000000003,112.2169375,1.0020615,0.4875075,-0.024827500000000002
34,2,1.2298255,0.0136095,0.517725,0.0760315,0.014351,3.2064005,133.7168395,0.9543815,0.9719104999999999,0.038943000000000005
35,2,1.204537,0.013364000000000001,0.5060359999999999,0.0755195,0.014030500000000001,3.7183355000000002,118.0953025,1.023453,0.3328275,-0.042316
36,2,1.1805235,0.013092,0.49502650000000004,0.074955,0.013734,3.2165495,118.213761,0.954314,0.9665205000000001,0.048122500000000006
37,2,1.1569755000000002,0.0128355,0.48429849999999997,0.074318,0.013453,3.2422185,112.4012645,0.9580825,0.9190389999999999,0.028786
38,2,1.1341904999999999,0.0126035,0.4739985,0.0735975,0.013198,3.4839525,122.8515985,0.9915445,0.6020565,-0.0046775
39,2,1.112173,0.012382500000000001,0.4641055,0.0728165,0.012973,3.4862725,110.7216955,0.991785,0.606484,-0.0097455
40,2,1.0906745,0.012166,0.45448449999999996,0.0720105,0.012759,3.2722625,110.458809,0.963059,0.877273,0.0210645
41,2,1.0695014999999999,0.011936,0.44510799999999995,0.07111100000000001,0.012563999999999999,3.2798435,100.518736,0.9619165000000001,0.869007,0.0291375
42,2,1.0492955,0.01173,0.43618650000000003,0.07019700000000001,0.012399,3.366555,106.358361,0.974251,0.7753615,0.018366999999999998
43,2,1.029363,0.011553500000000001,0.42740849999999997,0.0692515,0.012244999999999999,3.4848084999999998,115.301073,0.9907755,0.601443,-0.007313
44,2,1.010034,0.011397000000000001,0.418926,0.0682815,0.0121115,3.3420185,112.3500645,0.9641980000000001,0.8017694999999999,0.0072510000000000005
45,2,0.9910245,0.011234500000000001,0.410628,0.06727949999999999,0.0119875,3.3679185,139.5548285,0.978354,0.7525489999999999,0.0025425000000000014
46,2,0.9726985,0.011053,0.40266199999999996,0.0662735,0.011887,4.401636,122.383827,1.112329,-0.4037075,-0.1482355
47,2,0.9547395,0.010881499999999999,0.394862,0.06526399999999999,0.0118035,3.0677845,122.60554450000001,0.9284684999999999,1.2409515,0.08836000000000001
48,2,0.9372495000000001,0.0107125,0.38727900000000004,0.0642395,0.0117505,3.556612,122.2088455,1.0000365,0.526427,-0.023725
49,2,0.9202265000000001,0.010565999999999999,0.379907,0.0632135,0.011709500000000001,3.5143185,124.56917200000001,0.9988715,0.5827985,-0.027866500000000002
50,2,0.903653,0.010424,0.372732,0.0621925,0.011689499999999999,2.8427315,100.7631365,0.894112,1.5205229999999998,0.133016
51,2,0.887498,0.0102855,0.36576149999999996,0.0611735,0.011671,3.4030475,120.0031755,0.977878,0.8253904999999999,0.01748799999999999
52,2,0.8718545,0.0102565,0.359013,0.060153,0.0116335,3.2204034999999998,105.887443,0.946024,1.0797505,0.0694055
53,2,0.8567745,0.010144,0.3524835,0.059153,0.0116785,3.6408825,121.3828325,1.001144,0.6104255,-0.035833500000000004
